"Pais","Total","Cerveja","Destiladas","Vinho","Outras"
"Democratic People's Republic of Korea",3.61,0.12,3.48,0,0
"Democratic Republic of the Congo",0.55,0.5,0.03,0.01,0
"Denmark",9.32,3.45,1.65,4.22,0
"Djibouti",0.25,0.09,0.14,0.02,0
"Dominica",6.32,1.64,4.39,0.29,0
"Dominican Republic",5.58,3.15,2.2,0.17,0.06
"Ecuador",3.03,2.32,0.59,0.08,0.03
"Egypt",0.14,0.09,0.04,0.01,0
"El Salvador",2.93,1.5,1.38,0.05,0.01
"Equatorial Guinea",6.03,3.83,1.2,0.94,0.06
"Eritrea",0.93,0.42,0,0,0.51
"Estonia",10.81,3.61,4.32,1.9,0.98
"Eswatini",7.68,2.45,0,0.06,5.17
"Ethiopia",1.13,0.92,0.17,0,0.03
"Fiji",2.7,1.64,0.79,0.27,0
"Finland",8.37,3.97,1.1,1.72,1.58
"France",11.24,2.43,2.35,6.29,0.17
"Gabon",6.67,5.31,0.67,0.64,0.05
"Gambia",2.67,0.21,0.02,0,2.44
"Georgia",7.25,1.71,2.58,2.94,0.02
"Germany",10.88,5.67,2.08,3.13,0
"Ghana",1.62,0.53,0.39,0.06,0.64
"Greece",6.45,2.13,1.48,2.75,0.1
"Grenada",8.68,3.54,4.24,0.59,0.31
"Guatemala",1.63,0.9,0.68,0.05,0.01
"Guinea",0.33,0.29,0.03,0.01,0
"Guinea-Bissau",3.31,0.41,0.54,1.08,1.28
"Guyana",5.13,2.75,2.32,0.04,0.02
"Haiti",3.12,0.55,2.53,0.03,0.01
"Honduras",2.84,1.6,1.2,0.04,0
"Hungary",10.79,3.96,3.5,3.33,0
"Iceland",7.72,4.39,1.22,2.11,0
"India",3.04,0.23,2.81,0,0
"Indonesia",0.08,0.06,0.01,0.01,0
"Iran (Islamic Republic of)",0.03,0,0.03,0,0
"Iraq",0.17,0.12,0.04,0,0
"Ireland",11.15,5.1,2.31,2.89,0.85
"Israel",3.04,1.78,1.15,0.08,0.04
"Italy",7.81,1.94,0.79,5.08,0
"Jamaica",3.53,1.19,1.69,0.3,0.35
"Japan",8.81,1.35,1.63,0.39,5.44
"Jordan",0.26,0.06,0.2,0,0
"Kazakhstan",4.16,2.44,1.54,0.18,0
"Kenya",1.7,0.81,0.83,0.02,0.04
"Kiribati",0.43,0.26,0.17,0.01,0
"Kuwait",0,0,0,0,0
"Kyrgyzstan",4.42,0.45,3.72,0.25,0
"Lao People's Democratic Republic",8.16,3.62,4.46,0.08,0
"Latvia",13.2,5.3,5.3,1.6,1
"Lebanon",1.21,0.38,0.58,0.23,0.02
"Lesotho",3.4,1.98,0.31,0.29,0.82
"Liberia",2.97,0.38,2.28,0.29,0.02
"Libya",0.01,0,0,0.01,0
"Lithuania",11.77,4.59,4.88,0.82,1.48
"Luxembourg",10.98,4.05,2.22,4.71,0
"Madagascar",0.89,0.5,0.32,0.07,0
"Malawi",2.04,0.08,0.25,0,1.7
"Malaysia",0.66,0.48,0.12,0.05,0.01
"Maldives",1.44,0.33,0.45,0.65,0
"Mali",0.61,0.09,0.02,0.01,0.49
"Malta",7.95,2.8,2.28,2.48,0.39
"Mauritania",0,0,0,0,0
"Mauritius",3.44,1.94,0.88,0.23,0.03
"Mexico",4.25,3.72,0.19,0.19,0.15
"Micronesia (Federated States of)",1.59,0.92,0.52,0.13,0.01
"Mongolia",5.73,2.23,1.92,1.57,0
"Montenegro",9.87,3.83,3.14,2.67,0.23
"Morocco",0.47,0.18,0.08,0.21,0
"Mozambique",1.46,1.03,0.2,0.22,0.01
"Myanmar",1.85,0.5,1.33,0.02,0
"Namibia",2.54,1.37,0.61,0.16,0.4
"Nauru",2.44,0.54,1.81,0.09,0
"Nepal",0.36,0.22,0.13,0,0
"Netherlands (Kingdom of the)",8.33,3.99,1.41,2.93,0
"New Zealand",9.12,3.39,1.56,2.94,1.23
"Nicaragua",3.77,1.57,2.17,0.02,0
"Niger",0.11,0.04,0.06,0.01,0
"Nigeria",4.45,0.73,0.36,0.09,3.27
"Niue",8.5,4.28,2.33,1.89,0
"North Macedonia",3.89,1.93,0.89,1.03,0.04
"Norway",6.02,2.66,0.97,2.2,0.19
"Oman",0.48,0.17,0.29,0.02,0.01
"Pakistan",0.05,0,0.04,0,0
"Panama",6.56,5.29,1.24,0.01,0.02
"Papua New Guinea",1.26,0.6,0.6,0.06,0
"Paraguay",5.54,3.27,1.6,0.6,0.07
"Peru",5.74,3.01,2.26,0.46,0.01
"Philippines",4.91,1.47,3.4,0.03,0.01
"Poland",10.62,5.9,3.88,0.85,0
"Portugal",10.37,2.62,1.34,6.04,0.37
"Qatar",0.99,0.29,0.61,0.08,0.01
"Republic of Korea",7.74,1.72,0.22,0.15,5.66
"Republic of Moldova",7.45,1.53,2.25,3.57,0.1
"Romania",10.96,5.33,2.25,3.38,0
"Russian Federation",7.28,3.03,3.16,0.97,0.12
"Rwanda",6.35,0.23,0.09,0.03,6
"Saint Kitts and Nevis",8.72,3.73,3.8,0.99,0.2
"Saint Lucia",9.3,3.21,5.1,0.4,0.6
"Saint Vincent and the Grenadines",7.51,2.52,4.52,0.25,0.21
"Samoa",2.18,2.01,0.17,0,0
"Sao Tome and Principe",4.33,0.42,0.23,3.68,0
"Saudi Arabia",0,0,0,0,0
"Senegal",0.25,0.21,0.02,0.02,0
"Serbia",7.62,3.24,2.34,1.8,0.24
"Seychelles",9.36,4.11,4.41,0.49,0.35
"Sierra Leone",3.22,0.17,0.15,0,2.9
"Singapore",1.85,1.25,0.27,0.3,0.04
"Slovakia",10.05,3.43,4.38,2.25,0
"Slovenia",9.99,4.66,1.2,4.13,0
"Solomon Islands",1.18,1.1,0.02,0.05,0
"Somalia",0,0,0,0,0
"South Africa",7.19,3.9,1.3,1.32,0.68
"Spain",10.39,4.57,2.3,3.33,0.18
"Sri Lanka",2.58,0.22,2.32,0.01,0.03
"Suriname",5.97,3.4,2.31,0.12,0.13
"Sweden",7.2,2.69,1,3.38,0.13
"Switzerland",9.17,3.17,1.65,4.23,0.12
"Syrian Arab Republic",0.16,0.02,0.14,0,0
"Tajikistan",0.86,0.38,0.46,0.01,0
"Thailand",5.99,1.79,4,0.2,0
"Timor-Leste",0.42,0.27,0.05,0.1,0
"Togo",1.4,0.78,0.2,0.09,0.33
"Tonga",0.31,0.03,0.11,0.17,0
"Trinidad and Tobago",5.69,2.92,2.49,0.18,0.09
"Tunisia",1.49,0.99,0.16,0.32,0.02
"Türkiye",1.18,0.67,0.35,0.16,0
"Turkmenistan",2.95,0.65,1.03,1.27,0
"Tuvalu",0.93,0.01,0.22,0.69,0
"Uganda",6.98,0.85,0.66,0.01,5.46
"Ukraine",5.44,2.44,2.64,0.31,0.05
"United Arab Emirates",2.12,0.22,1.73,0.15,0.02
"United Kingdom of Great Britain and Northern Ireland",10.01,3.57,2.39,3.44,0.61
"United Republic of Tanzania",7.78,0.74,0.35,0.09,6.6
"United States of America",8.93,3.97,3.29,1.67,0
"Uruguay",6.21,1.98,0.73,3.5,0
"Uzbekistan",2.44,0.18,2.18,0.08,0
"Vanuatu",1.63,0.34,0.87,0.42,0
"Venezuela (Bolivarian Republic of)",2.64,1.54,1.04,0.01,0.04
"Viet Nam",3.44,3.18,0.23,0.02,0
"Yemen",0.02,0.02,0,0,0
"Zambia",3.7,1.26,0.25,0.04,2.16
"Zimbabwe",3.1,1.2,0.39,0.04,1.47
